,City,Walk Score,Transit Score,Bike Score,Baseball Fields and Diamonds,Tennis and Pickleball Courts,Volleyball,Basketball Hoops,Disc Golf Courses,Skateparks,Outdoor Exercise Zones,Community Gardens,Dog Parks,Playgrounds,Splashpads,Swimming Pools,Rec Centers,Senior Centers,Park Units,Parks as City Area,Improved Trails,Nature Trails,Walkable Park Access
55,"Austin, TX",41.7,34.8,54.0,1.7140078286311058,1.7937291229860408,0.4484322807465102,2.34181302167622,0.059790970766201365,0.039860647177467574,0.2590942066535392,0.29895485383100684,0.1594425887098703,1.9930323588733787,0.1694077505042372,0.3388155010084744,0.0,0.24912904485917234,3.3482943629072763,0.1107943526130784,1.5994084679958864,1.1864521632373224,0.6999757896639838
44,"Arlington, VA",71.2,58.6,72.3,4.506680849854447,6.211911441691265,0.9744174810496101,12.047771851745752,0.04060072837706709,0.04060072837706709,0.20300364188533543,0.40600728377067086,0.40600728377067086,5.277773924950161,0.28420509863946963,0.20300364188533543,0.04060072837706709,0.6090109256560063,6.333713626822465,0.110503832139716,2.5172451593781595,0.6496116540330734,0.9903089602533393
5,"Sacramento, CA",49.0,33.9,66.9,4.5984832482489315,1.6262928560880368,1.1589673227294055,3.2712787335104188,0.074772085337381,0.21992310938942922,0.8059239496150893,0.373860426686905,0.42993949068994075,4.0750786508872645,0.28039532001517875,0.2617022986808335,0.0373860426686905,0.35516740535255975,4.48632512024286,0.1080574640849469,0.8561403771130124,0.0,0.8382530324847149
48,"Columbus, OH",41.2,30.2,47.7,2.9316315499600676,3.6214272087742008,0.5604589727864835,6.434500129875589,0.03233417150691251,0.03233417150691251,0.08622445735176669,0.14011474319662087,0.07544640018279586,2.694514292242709,0.07544640018279586,0.09700251452073752,0.16167085753456253,0.32334171506912507,4.3327789819262765,0.1057298238456719,2.706370155128577,0.5820150871244252,0.7072498814929823
72,"Greensboro, NC",29.4,0.0,32.2,2.007985858512708,3.9172183141477417,0.6912738201437192,1.5142188441243372,0.06583560191844945,0.06583560191844945,0.19750680575534832,0.1645890047961236,0.09875340287767416,3.55512250359627,0.09875340287767416,0.1645890047961236,0.0,0.39501361151069664,8.028037023310148,0.1047922599401861,0.0,0.0,0.6357639327688613
17,"Chicago, IL",77.2,65.0,72.2,3.6247506847761195,2.075960522574889,0.48717812613841527,4.442773657769727,0.007271315315498735,0.021813945946496206,0.09816275675923293,0.32720918919744313,0.10906972973248104,3.5629445045943804,0.8389502327430753,0.28721695496220007,0.021813945946496206,0.9125500720950913,2.3486348469060916,0.1018383189993904,0.2915797441514993,0.3806533567663588,0.980792423524514
53,"San Antonio, TX",36.9,30.9,44.5,2.1952491779858487,1.3212785021106048,0.1995681070896226,4.204693566612394,0.0206449765954782,0.1101065418425504,0.3303196255276512,0.4060178730444046,0.12386985957286921,3.055456536130774,0.0756982475167534,0.1926864482244632,0.0550532709212752,0.6606392510553024,2.4498705559967466,0.1011738966857099,3.034811559535296,0.5691131881486824,0.5137289192364352
69,"Aurora, CO",42.5,35.2,53.3,1.854664481170143,2.130357849992732,0.42607156999854634,1.6541602129355328,0.05012606705865251,0.05012606705865251,0.12531516764663128,0.07518910058797877,0.07518910058797877,2.1052948164634055,0.07518910058797877,0.25063033529326256,0.07518910058797877,0.15037820117595754,2.9073118894018455,0.1004341952913932,4.260715699985464,0.8020170729384402,0.8747519841269841
60,"Plano, TX",40.5,14.8,52.0,5.762225865534344,6.493255685508102,0.4115875618238817,5.522133121137079,0.03429896348532347,0.03429896348532347,0.03429896348532347,0.03429896348532347,0.10289689045597042,4.83615385143061,0.10289689045597042,0.523287883858715,0.17149481742661737,0.17149481742661737,3.0183087867084657,0.0999934620581441,3.395597385047024,0.5144844522798521,0.8005393249139869
39,"St. Louis, MO",65.7,42.6,57.7,5.844708101075447,6.215332721878979,0.23517475163866408,0.9406990065546563,0.03359639309123772,0.0,0.06719278618247544,0.0,0.23517475163866408,3.0908681643938705,0.369560324003615,0.26877114472990177,0.0,0.33596393091237725,3.7627960262186253,0.099799835762677,1.9149944062005504,0.0,0.9722777600430116
46,"Baltimore, MD",64.3,53.2,53.4,3.501655485638012,1.5254736769116093,0.19068420961395116,3.605665054518349,0.06933971258689132,0.06933971258689132,0.08667464073361417,0.19068420961395116,0.08667464073361417,3.1376219945568327,0.104009568880337,0.34669856293445667,0.06933971258689132,0.8667464073361416,5.581846863244752,0.099425164169216,2.4442248686879195,0.4333732036680708,0.8712413461888555
38,"Kansas City, MO",35.3,25.5,35.0,3.7839956290989263,2.760772321230339,0.3861220029692782,2.644935720339556,0.09653050074231954,0.03861220029692782,0.1544488011877113,0.1544488011877113,0.07722440059385564,4.652770135779802,0.3088976023754226,0.1737549013361752,0.05791830044539173,0.1930610014846391,4.4404030341467,0.0983416347415239,1.254896509650154,0.637101304899309,0.6885824972835581
54,"Dallas, TX",46.0,38.9,49.3,2.18093424256078,2.832185439992124,0.49979743058684545,4.785939032286156,0.015145376684449862,0.007572688342224931,0.09087226010669917,0.007572688342224931,0.06815419508002438,1.9916170340051569,0.12873570181782382,0.1438810785022737,0.0,0.3180529103734471,3.1048022203122216,0.0968268131500432,1.3403658365738127,0.22339430609563546,0.7335253841015364
6,"Long Beach, CA",73.3,48.9,70.1,1.637489900350121,1.8314031780231619,1.4435766226770805,1.7667654187988149,0.02154591974144896,0.21545919741448963,0.32318879612173446,0.21545919741448963,0.23700511715593858,1.5082143819014273,0.02154591974144896,0.06463775922434689,0.10772959870724481,0.6463775922434689,3.5766226770805276,0.0966457490523365,1.9477511446269864,0.4395367627255588,0.8285303215285658
74,"Milwaukee, WI",61.5,48.7,57.6,3.747618700617316,3.3138665361940154,0.6593032899234167,8.917944500543058,0.06940034630772808,0.0,0.4858024241540965,0.10410051946159211,0.05205025973079606,4.858024241540965,0.2602512986539803,0.3817019046925044,0.06940034630772808,0.4684523375771645,4.129320605309821,0.0947120205989971,1.1084970314001867,0.5274426319387333,0.9096371952912432
22,"Buffalo, NY",66.6,47.5,62.8,3.618191262605456,1.719536441634276,0.0,5.910906518117824,0.0,0.03582367586738075,0.10747102760214225,0.0,0.10747102760214225,2.7584230417883178,0.3940604345411883,0.3224130828064268,0.0,0.9794526851678511,7.737913987354243,0.094174834018337,0.046570778627594976,0.17911837933690375,0.90778573987818
67,"Denver, CO",61.2,44.6,71.8,3.343498104679689,2.6855406463290676,0.12084932908480804,4.726551537539159,0.026855406463290675,0.1074216258531627,0.1745601420113894,0.13427703231645338,0.18798784524303472,3.6791906854708225,0.26855406463290676,0.4296865034126508,0.1074216258531627,0.40283109694936015,4.270009627663217,0.0941308831801987,4.404286659979671,0.0,0.9228599784852948
19,"Spokane, WA",49.2,36.0,52.1,3.990833955560133,3.1325900941493514,0.12873657921161719,2.8322047426555783,0.13728120862517224,0.17164877228215625,0.12873657921161719,0.0,0.08582438614107812,3.64753641099582,0.8153316683402422,0.25747315842323437,0.0,0.4291219307053906,4.54869246547714,0.0896012891569206,1.9954169777800665,0.0,0.8544066813999207
83,"Louisville, KY",34.3,27.3,43.3,0.0,3.6864839809049466,0.031109569459113473,2.706532542942872,0.04666435418867021,0.0,0.04666435418867021,0.13999306256601063,0.12443827783645389,3.250950008477358,0.6066366044527127,0.07777392364778368,0.09332870837734042,0.27998612513202126,2.068786369031046,0.0876377132630158,0.591081819723156,1.944348091194592,0.3749232871051406
81,"Nashville/Davidson, TN",28.8,21.7,29.7,3.2205262339866336,2.2263637878429337,0.46207550313721263,3.766615464966976,0.07001143986927465,0.028004575947709855,0.11201830379083942,0.04200686392156478,0.1400228797385493,2.296375227712208,0.05600915189541971,0.1400228797385493,0.1400228797385493,0.3780617752940831,4.326706983921173,0.0875304447184051,1.841300868561923,1.4002287973854928,0.0
